JFK$November$2003$31$11$718$6006$5233$New York, NY: John F. Kennedy International
LAS$November$2003$78$13$2813$12108$9211$Las Vegas, NV: McCarran International
LAX$November$2003$232$13$3295$18267$14701$Los Angeles, CA: Los Angeles International
LGA$November$2003$261$11$2121$8878$6480$New York, NY: LaGuardia
MCO$November$2003$16$14$1005$7733$6705$Orlando, FL: Orlando International
MDW$November$2003$110$9$1314$7206$5727$Chicago, IL: Chicago Midway International
MIA$November$2003$22$12$747$5228$4452$Miami, FL: Miami International
MSP$November$2003$164$11$2201$11364$8988$Minneapolis, MN: Minneapolis-St Paul International
ORD$November$2003$1403$13$11857$31206$17869$Chicago, IL: Chicago O'Hare International
PDX$November$2003$32$10$799$4458$3620$Portland, OR: Portland International
PHL$November$2003$125$13$1692$8709$6875$Philadelphia, PA: Philadelphia International
PHX$November$2003$123$13$2294$13579$11153$Phoenix, AZ: Phoenix Sky Harbor International
SAN$November$2003$55$13$1281$6785$5438$San Diego, CA: San Diego International
SEA$November$2003$74$13$1813$8158$6250$Seattle, WA: Seattle/Tacoma International
SFO$November$2003$111$12$2640$9968$7205$San Francisco, CA: San Francisco International
SLC$November$2003$105$11$1637$10202$8454$Salt Lake City, UT: Salt Lake City International
TPA$November$2003$12$10$757$5422$4647$Tampa, FL: Tampa International
ATL$December$2003$630$11$7284$31434$23508$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$December$2003$820$14$2216$9604$6539$Boston, MA: Logan International
BWI$December$2003$125$11$1652$8548$6756$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$December$2003$134$11$1407$9010$7468$Charlotte, NC: Charlotte Douglas International
DCA$December$2003$245$14$1223$6630$5158$Washington, DC: Ronald Reagan Washington National
DEN$December$2003$110$14$2227$12659$10319$Denver, CO: Denver International
DFW$December$2003$370$13$4485$29369$24484$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$December$2003$226$12$2085$11714$9396$Detroit, MI: Detroit Metro Wayne County
EWR$December$2003$843$13$3870$12975$8233$Newark, NJ: Newark Liberty International
FLL$December$2003$57$12$1283$5394$4050$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$December$2003$269$13$1519$8587$6789$Washington, DC: Washington Dulles International
IAH$December$2003$90$11$2819$16812$13841$Houston, TX: George Bush Intercontinental/Houston
JFK$December$2003$230$11$1421$6501$4836$New York, NY: John F. Kennedy International
LAS$December$2003$104$14$2603$12433$9709$Las Vegas, NV: McCarran International
LAX$December$2003$283$13$3619$19452$15533$Los Angeles, CA: Los Angeles International
LGA$December$2003$689$11$2767$9061$5548$New York, NY: LaGuardia
MCO$December$2003$80$13$1614$8130$6426$Orlando, FL: Orlando International
MDW$December$2003$115$9$1300$7472$6050$Chicago, IL: Chicago Midway International
MIA$December$2003$54$13$1283$5508$4164$Miami, FL: Miami International
MSP$December$2003$200$11$2530$12030$9291$Minneapolis, MN: Minneapolis-St Paul International
ORD$December$2003$1034$13$12012$32696$19638$Chicago, IL: Chicago O'Hare International
PDX$December$2003$39$10$1096$4738$3593$Portland, OR: Portland International
PHL$December$2003$263$13$2215$9079$6582$Philadelphia, PA: Philadelphia International
PHX$December$2003$157$13$2272$14167$11729$Phoenix, AZ: Phoenix Sky Harbor International
SAN$December$2003$88$13$1549$7148$5482$San Diego, CA: San Diego International
SEA$December$2003$82$13$1980$8691$6616$Seattle, WA: Seattle/Tacoma International
SFO$December$2003$208$12$3474$10645$6951$San Francisco, CA: San Francisco International
SLC$December$2003$401$11$2594$10809$7791$Salt Lake City, UT: Salt Lake City International
TPA$December$2003$59$10$1119$5768$4587$Tampa, FL: Tampa International
ATL$January$2004$805$11$7749$34338$25766$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$January$2004$468$16$1879$10133$7783$Boston, MA: Logan International
BWI$January$2004$206$12$1532$8632$6875$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$January$2004$221$12$1412$9099$7450$Charlotte, NC: Charlotte Douglas International
